 INFO 2015-04-26 17:38:32,676 [main] (StartPoint.java:62) -  [1] suite/s for execution
 INFO 2015-04-26 17:38:32,676 [main] (StartPoint.java:77) - Initialization successful
 INFO 2015-04-26 17:38:32,805 [main] (StartPoint.java:79) - Starting execution
 INFO 2015-04-26 17:38:35,044 [main] (TestEngine.java:68) - Total 4 sets for execution in [Items API] suite
 INFO 2015-04-26 17:38:35,045 [main] (TestEngine.java:79) - Total 1 test cases for execution in Items_Positive_Scenarios set
 INFO 2015-04-26 17:38:35,046 [main] (TestEngine.java:85) - Started executing Test Set :Items_Positive_Scenarios
 INFO 2015-04-26 17:38:37,709 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-26 17:43:04,617 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Item'
 INFO 2015-04-26 17:47:21,994 [main] (StartPoint.java:33) - Configuration log4j is successful
 INFO 2015-04-26 17:47:22,186 [main] (StartPoint.java:62) -  [1] suite/s for execution
 INFO 2015-04-26 17:47:22,187 [main] (StartPoint.java:77) - Initialization successful
 INFO 2015-04-26 17:47:22,299 [main] (StartPoint.java:79) - Starting execution
 INFO 2015-04-26 17:47:22,300 [main] (TestEngine.java:68) - Total 2 sets for execution in [Items API] suite
 INFO 2015-04-26 17:47:22,301 [main] (TestEngine.java:79) - Total 1 test cases for execution in Items_Positive_Scenarios set
 INFO 2015-04-26 17:47:22,301 [main] (TestEngine.java:85) - Started executing Test Set :Items_Positive_Scenarios
 INFO 2015-04-26 17:47:22,302 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-26 17:47:26,798 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Test Case covers validation of response code and expected output content'
 INFO 2015-04-26 17:47:26,799 [main] (TestEngine.java:79) - Total 3 test cases for execution in Items_Negative_Scenarios set
 INFO 2015-04-26 17:47:26,800 [main] (TestEngine.java:85) - Started executing Test Set :Items_Negative_Scenarios
 INFO 2015-04-26 17:47:26,800 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-26 17:47:30,957 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Item with blank item ID'
 INFO 2015-04-26 17:47:30,957 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-26 17:47:38,553 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Item with blank Invalid item ID'
 INFO 2015-04-26 17:47:38,554 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-26 17:47:42,710 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Item with invalid end url'
 INFO 2015-04-26 17:47:42,714 [main] (StartPoint.java:82) - Execution is completed
 INFO 2015-04-26 17:53:16,988 [main] (StartPoint.java:33) - Configuration log4j is successful
 INFO 2015-04-26 17:53:17,177 [main] (StartPoint.java:62) -  [1] suite/s for execution
 INFO 2015-04-26 17:53:17,177 [main] (StartPoint.java:77) - Initialization successful
 INFO 2015-04-26 17:53:17,291 [main] (StartPoint.java:79) - Starting execution
 INFO 2015-04-26 17:53:17,293 [main] (TestEngine.java:68) - Total 1 sets for execution in [Items API] suite
 INFO 2015-04-26 17:53:17,293 [main] (TestEngine.java:79) - Total 1 test cases for execution in Item_Set_Positive_Scenarios set
 INFO 2015-04-26 17:53:17,294 [main] (TestEngine.java:85) - Started executing Test Set :Item_Set_Positive_Scenarios
 INFO 2015-04-26 17:53:17,295 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-26 17:53:21,793 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Set'
 INFO 2015-04-26 17:53:21,796 [main] (StartPoint.java:82) - Execution is completed
 INFO 2015-04-26 18:07:41,009 [main] (StartPoint.java:33) - Configuration log4j is successful
 INFO 2015-04-26 18:07:41,214 [main] (StartPoint.java:62) -  [1] suite/s for execution
 INFO 2015-04-26 18:07:41,214 [main] (StartPoint.java:77) - Initialization successful
 INFO 2015-04-26 18:07:41,342 [main] (StartPoint.java:79) - Starting execution
 INFO 2015-04-26 18:07:42,583 [main] (TestEngine.java:68) - Total 1 sets for execution in [Items API] suite
 INFO 2015-04-26 18:07:42,583 [main] (TestEngine.java:79) - Total 1 test cases for execution in Item_Set_Positive_Scenarios set
